time,dataretrieval_count,dataretrieval_waiting,dataretrieval_occupancy,datauptader_count,dataupdater_waiting,dataupdater_occupancy
0.0,0.0,0.0,0.2,0.0,0.0,0.2
1000.0,0.0,0.0,0.2,0.0,0.0,0.2
2000.0,30.0,0.0,0.2,33.0,27.0,0.26060762392577014
3000.0,0.0,0.0,0.2,0.0,0.0,0.2
4000.0,33.0,27.0,0.56,33.0,57.0,0.2
5000.0,0.0,0.0,0.2558115763843029,0.0,0.0,0.2
6000.0,33.0,27.0,0.48057143589739243,33.0,57.0,0.2
7000.0,0.0,0.0,0.2,0.0,0.0,0.2
8000.0,33.0,57.0,0.2472482221416485,33.0,87.0,0.26163881449800325
9000.0,0.0,0.0,0.2,0.0,0.0,0.56
10000.0,30.0,0.0,0.2,33.0,27.0,0.2
11000.0,0.0,0.0,0.2,0.0,0.0,0.2
12000.0,33.0,57.0,0.5348605949553454,33.0,87.0,0.26236153458081735
13000.0,0.0,0.0,0.2,0.0,0.0,0.32112537641477396
14000.0,33.0,27.0,0.2,33.0,27.0,0.2
15000.0,0.0,0.0,0.2,0.0,0.0,0.2
16000.0,33.0,57.0,0.2,33.0,87.0,0.2
17000.0,0.0,0.0,0.2,0.0,0.0,0.2
18000.0,33.0,27.0,0.56,33.0,57.0,0.2
19000.0,0.0,0.0,0.2,0.0,0.0,0.2
20000.0,33.0,27.0,0.2803233259111032,33.0,57.0,0.484511359052439
21000.0,0.0,0.0,0.2,0.0,0.0,0.2085557825883354
22000.0,30.0,0.0,0.2,33.0,27.0,0.56
23000.0,0.0,0.0,0.2,0.0,0.0,0.2
24000.0,33.0,87.0,0.56,33.0,117.0,0.2
25000.0,0.0,0.0,0.2,0.0,0.0,0.2
26000.0,30.0,0.0,0.2,33.0,27.0,0.238000164697364
27000.0,0.0,0.0,0.2,0.0,0.0,0.2
28000.0,33.0,57.0,0.3801513670963634,33.0,57.0,0.2
29000.0,0.0,0.0,0.3523740754063052,0.0,0.0,0.2
30000.0,33.0,27.0,0.56,33.0,57.0,0.2
31000.0,0.0,0.0,0.2,0.0,0.0,0.2
32000.0,33.0,57.0,0.56,33.0,87.0,0.2
33000.0,0.0,0.0,0.2038920962802893,0.0,0.0,0.2
34000.0,30.0,0.0,0.3436665074986503,33.0,27.0,0.2
35000.0,0.0,0.0,0.3104267063720662,0.0,0.0,0.2
36000.0,33.0,57.0,0.2,33.0,87.0,0.2
37000.0,0.0,0.0,0.2,0.0,0.0,0.36101708105842567
38000.0,30.0,0.0,0.2,33.0,27.0,0.351267350678301
39000.0,0.0,0.0,0.2,0.0,0.0,0.2
40000.0,33.0,57.0,0.270841940798066,33.0,87.0,0.2
41000.0,0.0,0.0,0.45208000952360766,0.0,0.0,0.2
42000.0,33.0,57.0,0.2,33.0,57.0,0.56
43000.0,0.0,0.0,0.2,0.0,0.0,0.31800058783106744
44000.0,33.0,27.0,0.2,33.0,57.0,0.21713041710193268
45000.0,0.0,0.0,0.5215478852713354,0.0,0.0,0.2
46000.0,30.0,0.0,0.2,33.0,27.0,0.56
47000.0,0.0,0.0,0.2,0.0,0.0,0.56
48000.0,33.0,87.0,0.2602389912626362,33.0,117.0,0.2
