time,dataretrieval_count,dataretrieval_waiting,dataretrieval_occupancy,datauptader_count,dataupdater_waiting,dataupdater_occupancy
0.0,0.0,0.0,0.2,0.0,0.0,0.2
1000.0,0.0,0.0,0.9884719832095786,0.0,0.0,0.35
2000.0,30.0,0.0,0.35,33.0,27.0,0.9403644875082383
3000.0,0.0,0.0,1.0,0.0,0.0,0.7972953657795536
4000.0,33.0,27.0,1.0,33.0,57.0,0.7495871367438689
5000.0,0.0,0.0,0.917682971323265,0.0,0.0,0.35
6000.0,33.0,27.0,1.0,33.0,57.0,1.0
7000.0,0.0,0.0,1.0,0.0,0.0,0.7200365365460745
8000.0,33.0,57.0,1.0,33.0,87.0,1.0
9000.0,0.0,0.0,0.7762012296535625,0.0,0.0,1.0
10000.0,30.0,0.0,0.5052767022156417,33.0,27.0,0.5554684708077902
11000.0,0.0,0.0,1.0,0.0,0.0,0.35
12000.0,33.0,57.0,1.0,33.0,87.0,0.37540053682168834
13000.0,0.0,0.0,0.6532913034895677,0.0,0.0,0.35
14000.0,33.0,27.0,1.0,33.0,27.0,0.9933419393728633
15000.0,0.0,0.0,1.0,0.0,0.0,0.5833917947661205
16000.0,33.0,57.0,1.0,33.0,87.0,0.8273114568663977
17000.0,0.0,0.0,0.35,0.0,0.0,0.4620058036441327
18000.0,33.0,27.0,0.7807629868309518,33.0,57.0,1.0
19000.0,0.0,0.0,1.0,0.0,0.0,0.35
20000.0,33.0,27.0,1.0,33.0,57.0,1.0
21000.0,0.0,0.0,0.35,0.0,0.0,0.505888678884466
22000.0,30.0,0.0,1.0,33.0,27.0,1.0
23000.0,0.0,0.0,0.40438089402912497,0.0,0.0,0.35
24000.0,33.0,87.0,1.0,33.0,117.0,1.0
25000.0,0.0,0.0,0.35,0.0,0.0,0.9321182824836124
26000.0,30.0,0.0,0.35,33.0,27.0,0.5651331835892089
27000.0,0.0,0.0,1.0,0.0,0.0,1.0
28000.0,33.0,57.0,0.8927233102716681,33.0,57.0,1.0
