id,start_t,end_t,ip,long,lat,request_type,request_params,response
0_tv,500.0,532.9079244268647,198.167.238.57,26.106591324807194,44.43551573075945,2,data_5.00,200
7_tv,500.0,532.9525361345587,132.127.217.180,26.112436452911687,44.433620632074586,2,data_5.00,200
9_tv,500.0,540.1790781618489,171.66.32.167,26.104940326038395,44.43099410539787,2,data_5.00,200
8_tv,500.0,542.078638463068,161.143.246.182,26.104837957757397,44.43002311166442,2,data_5.00,200
2_tv,500.0,542.7073586905976,130.112.80.168,26.109754856898544,44.434120413052355,2,data_5.00,200
1_tv,500.0,542.9315354721913,117.119.80.169,26.10444037846354,44.432319443958704,2,data_5.00,200
3_tv,500.0,544.0107400411002,135.116.9.169,26.112236710835937,44.43399288260061,2,data_5.00,200
5_tv,500.0,550.2009364187991,82.251.228.59,26.10510957003749,44.42902768419565,2,data_5.00,200
4_tv,500.0,551.8722754837955,116.39.60.163,26.106921119685875,44.432326369743386,2,data_5.00,200
6_tv,500.0,559.524956340979,242.107.71.118,26.104576910698388,44.43074543443407,2,data_5.00,200
7_tv,532.9525361345587,585.3316061873844,132.127.217.180,26.112436452911687,44.433620632074586,1,metric_update5.33,200
9_tv,540.1790781618489,587.2978799215219,171.66.32.167,26.104940326038395,44.43099410539787,1,metric_update5.40,200
3_tv,544.0107400411002,596.4933203504893,135.116.9.169,26.112236710835937,44.43399288260061,1,metric_update5.44,200
1_tv,542.9315354721913,598.0005984922159,117.119.80.169,26.10444037846354,44.432319443958704,1,metric_update5.43,200
2_tv,542.7073586905976,610.676706275694,130.112.80.168,26.109754856898544,44.434120413052355,1,metric_update5.43,200
8_tv,542.078638463068,612.4538577680499,161.143.246.182,26.104837957757397,44.43002311166442,1,metric_update5.42,200
4_tv,551.8722754837955,621.7540425386067,116.39.60.163,26.106921119685875,44.432326369743386,1,metric_update5.52,200
0_tv,532.9079244268647,640.4584526986159,198.167.238.57,26.106591324807194,44.43551573075945,1,metric_update5.33,200
5_tv,550.2009364187991,663.2948403536402,82.251.228.59,26.10510957003749,44.42902768419565,1,metric_update5.50,200
6_tv,559.524956340979,667.0463757695437,242.107.71.118,26.104576910698388,44.43074543443407,1,metric_update5.60,200
1_kettle,700.0,731.5176498857464,255.94.159.240,26.10444037846354,44.432319443958704,2,data_7.00,200
7_kettle,700.0,734.9893333181174,56.96.42.182,26.112436452911687,44.433620632074586,2,data_7.00,200
9_kettle,700.0,736.4124189759755,48.190.180.95,26.104940326038395,44.43099410539787,2,data_7.00,200
8_kettle,700.0,744.5692337635215,60.237.223.45,26.104837957757397,44.43002311166442,2,data_7.00,200
0_kettle,700.0,746.5097593734954,167.202.212.21,26.106591324807194,44.43551573075945,2,data_7.00,200
3_kettle,700.0,755.0808275523985,111.76.198.154,26.112236710835937,44.43399288260061,2,data_7.00,200
6_kettle,700.0,755.4608720324292,166.94.104.142,26.104576910698388,44.43074543443407,2,data_7.00,200
5_kettle,700.0,757.7910094902438,14.212.47.26,26.10510957003749,44.42902768419565,2,data_7.00,200
4_kettle,700.0,759.0698877185425,195.51.232.97,26.106921119685875,44.432326369743386,2,data_7.00,200
2_kettle,700.0,759.9784740523818,255.1.207.153,26.109754856898544,44.434120413052355,2,data_7.00,200
7_kettle,734.9893333181174,770.2665193156134,56.96.42.182,26.112436452911687,44.433620632074586,1,metric_update7.35,200
1_kettle,731.5176498857464,797.6112762151972,255.94.159.240,26.10444037846354,44.432319443958704,1,metric_update7.32,200
0_kettle,746.5097593734954,800.3780346089891,167.202.212.21,26.106591324807194,44.43551573075945,1,metric_update7.47,200
9_kettle,736.4124189759755,800.5199996838979,48.190.180.95,26.104940326038395,44.43099410539787,1,metric_update7.36,200
5_kettle,757.7910094902438,825.8616832293585,14.212.47.26,26.10510957003749,44.42902768419565,1,metric_update7.58,200
6_kettle,755.4608720324292,826.411625092952,166.94.104.142,26.104576910698388,44.43074543443407,1,metric_update7.55,200
8_window,800.0,831.7149581872245,231.201.155.38,26.104837957757397,44.43002311166442,2,data_8.00,200
2_window,800.0,834.6439047582219,160.160.77.196,26.109754856898544,44.434120413052355,2,data_8.00,200
3_window,800.0,838.9012347648369,164.22.18.147,26.112236710835937,44.43399288260061,2,data_8.00,200
6_window,800.0,846.2658560412282,140.191.237.176,26.104576910698388,44.43074543443407,2,data_8.00,200
0_window,800.0,846.6730497021686,68.138.170.158,26.106591324807194,44.43551573075945,2,data_8.00,200
5_window,800.0,847.3754087244877,237.217.104.49,26.10510957003749,44.42902768419565,2,data_8.00,200
9_window,800.0,847.5253278337691,200.220.209.159,26.104940326038395,44.43099410539787,2,data_8.00,200
1_window,800.0,851.5522482588898,149.167.109.121,26.10444037846354,44.432319443958704,2,data_8.00,200
7_window,800.0,852.4392668113719,57.133.195.207,26.112436452911687,44.433620632074586,2,data_8.00,200
