time,dataretrieval_count,dataretrieval_waiting,dataretrieval_occupancy,datauptader_count,dataupdater_waiting,dataupdater_occupancy
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,10.0,0.0,0.0,15.0,5.0,0.3333333333333333
3000.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,15.0,5.0,0.3333333333333333,15.0,15.0,1.0
5000.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,15.0,5.0,0.3333333333333333,15.0,15.0,1.0
7000.0,0.0,0.0,0.0,0.0,0.0,0.0
8000.0,15.0,15.0,1.0,15.0,25.0,1.0
9000.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,10.0,0.0,0.0,15.0,5.0,0.3333333333333333
11000.0,0.0,0.0,0.0,0.0,0.0,0.0
12000.0,15.0,15.0,1.0,15.0,25.0,1.0
13000.0,0.0,0.0,0.0,0.0,0.0,0.0
14000.0,15.0,5.0,0.3333333333333333,15.0,5.0,0.3333333333333333
15000.0,0.0,0.0,0.0,0.0,0.0,0.0
16000.0,15.0,15.0,1.0,15.0,25.0,1.0
17000.0,0.0,0.0,0.0,0.0,0.0,0.0
18000.0,15.0,5.0,0.3333333333333333,15.0,15.0,1.0
19000.0,0.0,0.0,0.0,0.0,0.0,0.0
20000.0,15.0,5.0,0.3333333333333333,15.0,15.0,1.0
21000.0,0.0,0.0,0.0,0.0,0.0,0.0
22000.0,10.0,0.0,0.0,15.0,5.0,0.3333333333333333
23000.0,0.0,0.0,0.0,0.0,0.0,0.0
24000.0,15.0,25.0,1.0,15.0,35.0,1.0
25000.0,0.0,0.0,0.0,0.0,0.0,0.0
26000.0,10.0,0.0,0.0,15.0,5.0,0.3333333333333333
27000.0,0.0,0.0,0.0,0.0,0.0,0.0
28000.0,15.0,15.0,1.0,15.0,15.0,1.0
29000.0,0.0,0.0,0.0,0.0,0.0,0.0
30000.0,15.0,5.0,0.3333333333333333,15.0,15.0,1.0
31000.0,0.0,0.0,0.0,0.0,0.0,0.0
32000.0,15.0,15.0,1.0,15.0,25.0,1.0
33000.0,0.0,0.0,0.0,0.0,0.0,0.0
34000.0,10.0,0.0,0.0,15.0,5.0,0.3333333333333333
35000.0,0.0,0.0,0.0,0.0,0.0,0.0
36000.0,15.0,15.0,1.0,15.0,25.0,1.0
37000.0,15.0,7.0,0.4666666666666667,12.0,0.0,0.0
38000.0,15.0,11.0,0.7333333333333333,15.0,3.0,0.2
39000.0,15.0,7.0,0.4666666666666667,10.0,0.0,0.0
40000.0,15.0,26.0,1.0,15.0,17.0,1.0
41000.0,15.0,10.0,0.6666666666666666,11.0,0.0,0.0
42000.0,15.0,23.0,1.0,15.0,8.0,0.5333333333333333
43000.0,15.0,10.0,0.6666666666666666,14.0,0.0,0.0
44000.0,15.0,19.0,1.0,15.0,7.0,0.4666666666666667
45000.0,15.0,10.0,0.6666666666666666,13.0,0.0,0.0
46000.0,15.0,14.0,0.9333333333333333,14.0,0.0,0.0
